redcode,p03_10_$tot$,p03_0_1,p03_1_2,p03_2_3,p03_3_4,p03_4_5,p03_5_6,p03_6_7,p03_7_9,p03_8_$mv$,p03_9_$na$,
02007,221001,107202,475,97107,755,476,277,671,14038,0,0,
02014,160609,84453,187,65517,324,282,161,509,9176,0,0,
02021,193537,97198,324,83045,521,438,242,589,11180,0,0,
02028,227024,113953,257,102116,308,237,120,445,9588,0,0,
02035,192449,97720,309,81309,456,503,280,682,11190,0,0,
02042,201764,101151,261,83047,683,409,333,671,15209,0,0,
02049,213262,106508,286,92874,401,306,211,588,12088,0,0,
02056,203888,99678,281,90288,448,143,123,271,12656,0,0,
02063,167908,83707,226,74943,301,189,117,408,8017,0,0,
02070,171896,86992,191,76213,308,216,159,507,7310,0,0,
02077,201905,100831,248,87305,467,341,251,577,11885,0,0,
02084,235364,117866,225,102492,537,443,252,744,12805,0,0,
02091,262330,135259,323,111297,610,402,274,856,13309,0,0,
02098,247252,127452,363,103089,516,472,281,898,14181,0,0,
02105,195265,98584,222,85422,363,549,194,762,9169,0,0,
06007,17344,8405,24,8373,5,3,3,27,504,0,0,
06014,12847,6211,12,5894,8,5,2,16,699,0,0,
06021,12906,6141,16,5818,30,19,19,24,839,0,0,
06028,583209,282739,762,264354,977,379,188,654,33156,0,0,
06035,366117,183496,393,164996,421,284,145,619,15763,0,0,
06042,21757,10610,30,10183,25,17,7,27,858,0,0,
06049,75152,36038,125,33753,164,151,56,108,4757,0,0,
06056,334505,162504,308,150323,535,322,158,523,19832,0,0,
06063,48516,23483,68,22344,95,28,17,52,2429,0,0,
06070,39223,18466,85,17645,206,45,45,74,2657,0,0,
06077,32077,15957,35,14900,20,6,9,37,1113,0,0,
06084,21185,10017,40,9618,47,25,10,28,1400,0,0,
06091,358328,175246,416,164439,529,214,105,502,16877,0,0,
06098,100685,49596,150,45819,193,88,48,118,4673,0,0,
06105,37194,18176,73,16877,123,27,15,44,1859,0,0,
06112,46227,21756,74,20413,145,52,48,70,3669,0,0,
06119,32350,15770,38,15166,39,16,11,71,1239,0,0,
06126,107976,52735,139,50829,140,48,33,126,3926,0,0,
06134,70542,34291,84,33187,58,39,31,69,2783,0,0,
06140,15882,7899,21,7405,13,7,4,11,522,0,0,
06147,22905,11421,18,10885,15,7,4,15,540,0,0,
06154,14007,5914,71,5890,128,23,17,23,1941,0,0,
06161,17345,8312,32,8142,25,7,10,17,800,0,0,
06168,9551,4525,11,4378,20,2,1,15,599,0,0,
06175,27406,13198,46,12504,51,5,29,29,1544,0,0,
06182,65823,31748,85,29604,140,105,49,122,3970,0,0,
06189,15795,7775,22,7415,9,7,9,29,529,0,0,
06196,24110,11756,29,10896,38,32,7,30,1322,0,0,
06203,41713,20518,48,19510,34,18,16,48,1521,0,0,
06210,52409,25818,81,24359,33,22,10,52,2034,0,0,
06218,42191,20886,48,19830,37,21,11,81,1277,0,0,
06224,70554,34880,114,31959,91,42,14,84,3370,0,0,
06231,18328,8421,45,8209,112,16,7,18,1500,0,0,
06238,31405,14996,45,13890,129,14,9,41,2281,0,0,
06245,63978,31588,76,29841,51,40,18,83,2281,0,0,
06252,256071,122235,269,118318,368,159,122,394,14206,0,0,
06260,337880,164055,436,155041,476,205,104,424,17139,0,0,
06266,40036,19063,60,18555,201,49,25,49,2034,0,0,
06270,198620,95631,296,91470,275,103,51,208,10586,0,0,
06274,488103,233225,668,224612,715,281,162,522,27918,0,0,
06277,10759,4733,27,4593,74,31,14,20,1267,0,0,
06280,45307,22113,51,20882,60,30,14,65,2092,0,0,
06287,10150,4997,6,4870,5,3,0,4,265,0,0,
06294,16231,7801,35,7457,44,9,8,17,860,0,0,
06301,20674,10122,25,9432,42,13,10,28,1002,0,0,
06308,3157,1404,4,1436,9,0,1,3,300,0,0,
06315,22566,11205,24,10375,24,9,5,28,896,0,0,
06322,11535,5680,7,5461,2,5,0,18,362,0,0,
06329,17980,8592,17,8187,79,14,7,18,1066,0,0,
06336,4846,2336,4,2242,1,0,2,5,256,0,0,
06343,14141,6869,17,6636,22,8,4,10,575,0,0,
06351,12842,5926,15,5702,60,6,15,14,1104,0,0,
06357,660569,327949,833,295771,921,620,268,1139,33068,0,0,
06364,142315,67967,183,66317,334,85,50,157,7222,0,0,
06371,444503,219528,625,200801,544,380,171,666,21788,0,0,
06385,22530,9424,90,8933,219,102,37,42,3683,0,0,
06392,35055,15854,69,15566,155,20,57,48,3286,0,0,
06399,11662,5685,12,5615,5,3,3,8,331,0,0,
06406,10581,4801,20,4670,29,10,16,23,1012,0,0,
06408,185361,91357,207,84554,209,168,74,240,8552,0,0,
06410,177983,88275,272,81200,355,154,75,341,7311,0,0,
06412,326527,155527,470,148459,692,212,143,349,20675,0,0,
06413,100964,48779,140,44950,177,98,55,123,6642,0,0,
06420,100400,46194,144,43597,256,124,61,199,9825,0,0,
06427,1837168,900702,3118,837867,2955,1429,750,2215,88132,0,0,
06434,460081,227799,562,205809,880,392,214,772,23653,0,0,
06441,756074,376606,899,343877,1015,1108,491,1745,30333,0,0,
06448,11496,5732,16,5404,7,2,3,28,304,0,0,
06455,27136,13094,62,12198,105,18,20,36,1603,0,0,
06462,17153,8512,25,8136,20,4,1,30,425,0,0,
06466,6170,3054,8,2886,3,4,2,11,202,0,0,
06469,45191,21952,61,20912,84,57,24,55,2046,0,0,
06476,18106,8664,23,8569,20,9,4,11,806,0,0,
06483,41418,20160,58,18709,64,16,13,41,2357,0,0,
06490,685644,336667,992,312608,954,436,245,951,32791,0,0,
06497,110111,54080,212,50259,298,124,64,163,4911,0,0,
06505,22653,10259,30,10029,130,24,17,62,2102,0,0,
06511,11253,5642,20,5149,15,4,4,9,410,0,0,
06515,349401,166555,468,158478,729,241,115,442,22373,0,0,
06518,32973,15561,30,15161,78,24,10,50,2059,0,0,
06525,64761,31215,85,30071,89,37,21,70,3173,0,0,
06532,71002,34527,134,32165,142,42,28,98,3866,0,0,
06539,581484,282359,753,267214,1086,378,190,613,28891,0,0,
06547,24616,11720,47,11208,80,19,10,26,1506,0,0,
06553,8444,4022,13,3989,7,11,4,10,388,0,0,
06560,575758,276222,863,264474,1399,453,219,630,31498,0,0,
06568,329517,165219,379,149504,490,359,154,712,12700,0,0,
06574,19888,9539,21,9242,40,12,13,22,999,0,0,
06581,101483,49778,114,45518,118,80,46,155,5674,0,0,
06588,52366,25602,131,23914,71,23,20,66,2539,0,0,
06595,122011,59562,138,55807,196,175,76,180,5877,0,0,
06602,37499,18238,45,17748,36,23,7,59,1343,0,0,
06609,44594,20701,64,19074,189,41,112,132,4281,0,0,
06616,7112,3270,5,3190,20,3,8,3,613,0,0,
06623,114988,56063,152,51653,189,81,62,130,6658,0,0,
06630,4615,2235,4,2185,2,2,2,5,180,0,0,
06638,393614,186662,576,180496,705,227,194,584,24170,0,0,
06644,39224,17927,60,17757,109,16,14,70,3271,0,0,
06648,101994,48933,173,47146,127,61,25,82,5447,0,0,
06651,16391,7789,12,7555,31,2,4,18,980,0,0,
06655,12161,5828,11,5691,10,4,3,20,594,0,0,
06658,631774,309407,822,286938,902,453,266,956,32030,0,0,
06665,39648,19103,62,18426,126,24,10,37,1860,0,0,
06672,16491,7928,30,7746,20,6,3,25,733,0,0,
06679,19735,9179,32,9096,85,18,10,18,1297,0,0,
06686,25619,12511,33,11756,39,10,13,28,1229,0,0,
06693,13901,6873,18,6589,9,4,2,15,391,0,0,
06700,21407,10641,24,10120,18,1,7,27,569,0,0,
06707,35423,17650,32,16752,25,8,9,25,922,0,0,
06714,39257,18332,63,17618,98,26,31,33,3056,0,0,
06721,9344,4491,13,4322,14,0,2,13,489,0,0,
06728,26399,12795,45,12620,30,16,7,24,862,0,0,
06735,26695,13028,47,12328,74,13,10,36,1159,0,0,
06742,8918,4255,10,4075,31,0,0,9,538,0,0,
06749,171099,84447,220,77007,220,112,71,272,8750,0,0,
06756,295978,148003,384,131612,587,293,141,639,14319,0,0,
06760,327650,157686,392,147872,880,332,196,567,19725,0,0,
06763,166657,79131,231,74295,559,124,142,181,11994,0,0,
06770,68353,33271,137,31771,120,31,14,46,2963,0,0,
06778,97929,46787,125,45370,138,59,23,132,5295,0,0,
06784,11736,5648,8,5423,26,3,4,12,612,0,0,
06791,144678,71173,136,66358,234,115,60,234,6368,0,0,
06798,10695,5031,26,4884,31,4,2,14,703,0,0,
06805,446291,213540,580,201627,803,333,182,766,28460,0,0,
06812,2528,1174,0,1262,0,0,3,4,85,0,0,
06819,14591,7023,22,6798,45,12,9,24,658,0,0,
06826,49128,23571,85,22676,166,43,43,77,2467,0,0,
06833,61889,30709,61,29152,38,27,16,88,1798,0,0,
06840,362319,180624,407,164453,496,307,185,651,15196,0,0,
06847,9090,4163,22,4205,14,3,10,14,659,0,0,
06854,35411,17157,53,16230,55,15,10,38,1853,0,0,
06861,280541,139709,362,123029,541,360,179,823,15538,0,0,
06868,37325,17868,59,16962,74,45,14,58,2245,0,0,
06875,32552,15600,28,15788,35,7,7,27,1060,0,0,
06882,131415,63131,175,60633,204,65,68,165,6974,0,0,
10007,5087,2336,4,2431,9,3,2,4,298,0,0,
10014,3282,1489,0,1700,1,0,0,1,91,0,0,
10021,19545,9230,28,9212,21,7,4,14,1029,0,0,
10028,1822,846,1,911,1,0,0,1,62,0,0,
10035,30353,14896,41,14326,14,12,5,13,1046,0,0,
10042,19471,9194,26,9282,14,3,6,16,930,0,0,
10049,186466,92143,233,85164,139,98,38,160,8491,0,0,
10056,4375,1986,5,2086,6,5,11,5,271,0,0,
10063,14624,7021,17,6863,17,7,9,27,663,0,0,
10070,26341,12477,44,12271,38,16,23,18,1454,0,0,
10077,4696,2185,4,2338,0,0,0,0,169,0,0,
10084,12219,5577,18,5808,13,9,16,10,768,0,0,
10091,26822,13112,29,12512,16,6,9,22,1116,0,0,
10098,13317,6175,18,6347,17,1,5,5,749,0,0,
10105,25254,11923,40,11699,32,8,4,23,1525,0,0,
10112,33951,16435,25,15895,23,18,11,37,1507,0,0,
14007,75462,34510,85,33494,124,57,37,122,7033,0,0,
14014,1498060,722580,1741,651459,1788,1442,735,2709,115606,0,0,
14021,294511,139149,329,131088,319,200,105,444,22877,0,0,
14028,64748,30430,101,28110,54,23,17,50,5963,0,0,
14035,36064,17359,33,17620,5,5,7,22,1013,0,0,
