DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Propia,2. Alquilada,3. Cedida por trabajo,4. Prestada,5. Otra situación,0. __mv__,0. __na__,
0. __tot__,0. __tot__,45618787,31413564,7924358,590998,2918076,2771791,,,
0. __tot__,1. Mujer,22043042,15270543,3808445,240015,1383725,1340314,,,
0. __tot__,2. Mujer trans/travesti,60679,40250,11829,1157,4065,3378,,,
0. __tot__,3. Varón,20562087,14199987,3514756,294380,1323271,1229693,,,
0. __tot__,4. Varón trans/masculinidad trans,72510,44305,17502,1649,4925,4129,,,
0. __tot__,5. No binario,37330,19278,11725,562,3000,2765,,,
0. __tot__,6. Otra identidad/ninguna de las anteriores,26437,14561,7312,510,2073,1981,,,
0. __tot__,7. Prefiero no contestar,69831,36585,18485,885,5993,7883,,,
0. __tot__,9. Ignorado,2746871,1788055,534304,51840,191024,181648,,,
2007. Comuna 1,0. __tot__,221001,95168,102466,6462,8829,8076,,,
2007. Comuna 1,1. Mujer,107202,48425,47933,2711,4204,3929,,,
2007. Comuna 1,2. Mujer trans/travesti,475,118,305,16,17,19,,,
2007. Comuna 1,3. Varón,97107,40803,45801,3211,3907,3385,,,
2007. Comuna 1,4. Varón trans/masculinidad trans,755,236,429,38,30,22,,,
2007. Comuna 1,5. No binario,476,120,300,5,34,17,,,
2007. Comuna 1,6. Otra identidad/ninguna de las anteriores,277,71,169,4,21,12,,,
2007. Comuna 1,7. Prefiero no contestar,671,217,326,19,63,46,,,
2007. Comuna 1,9. Ignorado,14038,5178,7203,458,553,646,,,
2014. Comuna 2,0. __tot__,160609,78836,62285,7240,7450,4798,,,
2014. Comuna 2,1. Mujer,84453,43096,31949,3129,3813,2466,,,
2014. Comuna 2,2. Mujer trans/travesti,187,78,90,7,8,4,,,
2014. Comuna 2,3. Varón,65517,31279,25652,3665,3073,1848,,,
2014. Comuna 2,4. Varón trans/masculinidad trans,324,142,133,21,19,9,,,
2014. Comuna 2,5. No binario,282,82,158,10,21,11,,,
2014. Comuna 2,6. Otra identidad/ninguna de las anteriores,161,53,79,13,7,9,,,
2014. Comuna 2,7. Prefiero no contestar,509,217,207,12,31,42,,,
2014. Comuna 2,9. Ignorado,9176,3889,4017,383,478,409,,,
2021. Comuna 3,0. __tot__,193537,80686,92706,3757,8666,7722,,,
2021. Comuna 3,1. Mujer,97198,42347,45084,1635,4248,3884,,,
2021. Comuna 3,2. Mujer trans/travesti,324,100,191,5,14,14,,,
2021. Comuna 3,3. Varón,83045,33544,40723,1854,3749,3175,,,
2021. Comuna 3,4. Varón trans/masculinidad trans,521,164,312,9,13,23,,,
2021. Comuna 3,5. No binario,438,126,253,4,26,29,,,
2021. Comuna 3,6. Otra identidad/ninguna de las anteriores,242,87,122,1,19,13,,,
2021. Comuna 3,7. Prefiero no contestar,589,246,254,7,41,41,,,
2021. Comuna 3,9. Ignorado,11180,4072,5767,242,556,543,,,
2028. Comuna 4,0. __tot__,227024,124175,75700,1935,10922,14292,,,
2028. Comuna 4,1. Mujer,113953,63484,37198,847,5355,7069,,,
2028. Comuna 4,2. Mujer trans/travesti,257,129,95,3,11,19,,,
2028. Comuna 4,3. Varón,102116,55382,34418,958,4955,6403,,,
2028. Comuna 4,4. Varón trans/masculinidad trans,308,147,111,6,15,29,,,
2028. Comuna 4,5. No binario,237,97,95,3,19,23,,,
2028. Comuna 4,6. Otra identidad/ninguna de las anteriores,120,55,49,,10,6,,,
2028. Comuna 4,7. Prefiero no contestar,445,197,165,1,38,44,,,
2028. Comuna 4,9. Ignorado,9588,4684,3569,117,519,699,,,
2035. Comuna 5,0. __tot__,192449,95935,77035,3400,8571,7508,,,
2035. Comuna 5,1. Mujer,97720,50478,37808,1439,4290,3705,,,
2035. Comuna 5,2. Mujer trans/travesti,309,115,171,7,7,9,,,
2035. Comuna 5,3. Varón,81309,40129,32840,1624,3607,3109,,,
2035. Comuna 5,4. Varón trans/masculinidad trans,456,158,252,17,17,12,,,
2035. Comuna 5,5. No binario,503,177,256,6,33,31,,,
2035. Comuna 5,6. Otra identidad/ninguna de las anteriores,280,95,151,8,14,12,,,
2035. Comuna 5,7. Prefiero no contestar,682,272,302,9,45,54,,,
2035. Comuna 5,9. Ignorado,11190,4511,5255,290,558,576,,,
2042. Comuna 6,0. __tot__,201764,114254,68160,4823,8048,6479,,,
2042. Comuna 6,1. Mujer,101151,58940,32965,2076,3987,3183,,,
2042. Comuna 6,2. Mujer trans/travesti,261,145,96,3,11,6,,,
2042. Comuna 6,3. Varón,83047,46726,28305,2228,3272,2516,,,
2042. Comuna 6,4. Varón trans/masculinidad trans,683,338,270,18,23,34,,,
2042. Comuna 6,5. No binario,409,166,204,4,25,10,,,
2042. Comuna 6,6. Otra identidad/ninguna de las anteriores,333,137,151,8,19,18,,,
2042. Comuna 6,7. Prefiero no contestar,671,279,260,15,46,71,,,
2042. Comuna 6,9. Ignorado,15209,7523,5909,471,665,641,,,
2049. Comuna 7,0. __tot__,213262,120888,70517,3137,9629,9091,,,
2049. Comuna 7,1. Mujer,106508,61772,34120,1352,4723,4541,,,
2049. Comuna 7,2. Mujer trans/travesti,286,135,123,3,15,10,,,
2049. Comuna 7,3. Varón,92874,52327,31007,1512,4196,3832,,,
2049. Comuna 7,4. Varón trans/masculinidad trans,401,181,171,2,24,23,,,
2049. Comuna 7,5. No binario,306,131,138,4,15,18,,,
2049. Comuna 7,6. Otra identidad/ninguna de las anteriores,211,96,90,2,10,13,,,
2049. Comuna 7,7. Prefiero no contestar,588,300,195,3,32,58,,,
2049. Comuna 7,9. Ignorado,12088,5946,4673,259,614,596,,,
2056. Comuna 8,0. __tot__,203888,128989,50850,1277,10602,12170,,,
2056. Comuna 8,1. Mujer,99678,63755,24274,485,5158,6006,,,
2056. Comuna 8,2. Mujer trans/travesti,281,169,85,4,16,7,,,
2056. Comuna 8,3. Varón,90288,57295,22580,508,4691,5214,,,
2056. Comuna 8,4. Varón trans/masculinidad trans,448,241,147,20,21,19,,,
2056. Comuna 8,5. No binario,143,87,34,1,9,12,,,
2056. Comuna 8,6. Otra identidad/ninguna de las anteriores,123,64,33,5,8,13,,,
2056. Comuna 8,7. Prefiero no contestar,271,119,92,2,16,42,,,
2056. Comuna 8,9. Ignorado,12656,7259,3605,252,683,857,,,
2063. Comuna 9,0. __tot__,167908,98665,49896,821,9268,9258,,,
2063. Comuna 9,1. Mujer,83707,50039,24184,335,4539,4610,,,
2063. Comuna 9,2. Mujer trans/travesti,226,127,76,2,11,10,,,
2063. Comuna 9,3. Varón,74943,43801,22457,361,4191,4133,,,
2063. Comuna 9,4. Varón trans/masculinidad trans,301,162,106,2,21,10,,,
2063. Comuna 9,5. No binario,189,99,67,2,11,10,,,
2063. Comuna 9,6. Otra identidad/ninguna de las anteriores,117,56,45,1,9,6,,,
2063. Comuna 9,7. Prefiero no contestar,408,188,141,2,34,43,,,
2063. Comuna 9,9. Ignorado,8017,4193,2820,116,452,436,,,
2070. Comuna 10,0. __tot__,171896,102434,51893,1291,8505,7773,,,
2070. Comuna 10,1. Mujer,86992,52916,25476,544,4258,3798,,,
2070. Comuna 10,2. Mujer trans/travesti,191,105,71,2,8,5,,,
2070. Comuna 10,3. Varón,76213,45134,23332,597,3806,3344,,,
2070. Comuna 10,4. Varón trans/masculinidad trans,308,147,118,12,19,12,,,
2070. Comuna 10,5. No binario,216,101,84,3,20,8,,,
2070. Comuna 10,6. Otra identidad/ninguna de las anteriores,159,79,52,4,14,10,,,
