DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
0. __tot__,0. __tot__,45618787,35592795,10025992,,,
0. __tot__,1. Mujer,22043042,17424066,4618976,,,
0. __tot__,2. Mujer trans/travesti,60679,42906,17773,,,
0. __tot__,3. Varón,20562087,15990624,4571463,,,
0. __tot__,4. Varón trans/masculinidad trans,72510,52473,20037,,,
0. __tot__,5. No binario,37330,29941,7389,,,
0. __tot__,6. Otra identidad/ninguna de las anteriores,26437,19424,7013,,,
0. __tot__,7. Prefiero no contestar,69831,55625,14206,,,
0. __tot__,9. Ignorado,2746871,1977736,769135,,,
2007. Comuna 1,0. __tot__,221001,192142,28859,,,
2007. Comuna 1,1. Mujer,107202,93801,13401,,,
2007. Comuna 1,2. Mujer trans/travesti,475,366,109,,,
2007. Comuna 1,3. Varón,97107,84434,12673,,,
2007. Comuna 1,4. Varón trans/masculinidad trans,755,631,124,,,
2007. Comuna 1,5. No binario,476,431,45,,,
2007. Comuna 1,6. Otra identidad/ninguna de las anteriores,277,245,32,,,
2007. Comuna 1,7. Prefiero no contestar,671,568,103,,,
2007. Comuna 1,9. Ignorado,14038,11666,2372,,,
2014. Comuna 2,0. __tot__,160609,153149,7460,,,
2014. Comuna 2,1. Mujer,84453,80423,4030,,,
2014. Comuna 2,2. Mujer trans/travesti,187,174,13,,,
2014. Comuna 2,3. Varón,65517,62976,2541,,,
2014. Comuna 2,4. Varón trans/masculinidad trans,324,290,34,,,
2014. Comuna 2,5. No binario,282,268,14,,,
2014. Comuna 2,6. Otra identidad/ninguna de las anteriores,161,152,9,,,
2014. Comuna 2,7. Prefiero no contestar,509,470,39,,,
2014. Comuna 2,9. Ignorado,9176,8396,780,,,
2021. Comuna 3,0. __tot__,193537,172354,21183,,,
2021. Comuna 3,1. Mujer,97198,86785,10413,,,
2021. Comuna 3,2. Mujer trans/travesti,324,267,57,,,
2021. Comuna 3,3. Varón,83045,74520,8525,,,
2021. Comuna 3,4. Varón trans/masculinidad trans,521,435,86,,,
