DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
0. __tot__,0. __tot__,45618787,41446673,4172114,,,
0. __tot__,1. Mujer,22043042,20134557,1908485,,,
0. __tot__,2. Mujer trans/travesti,60679,52639,8040,,,
0. __tot__,3. Varón,20562087,18680792,1881295,,,
0. __tot__,4. Varón trans/masculinidad trans,72510,62685,9825,,,
0. __tot__,5. No binario,37330,33767,3563,,,
0. __tot__,6. Otra identidad/ninguna de las anteriores,26437,22907,3530,,,
0. __tot__,7. Prefiero no contestar,69831,62313,7518,,,
0. __tot__,9. Ignorado,2746871,2397013,349858,,,
2007. Comuna 1,0. __tot__,221001,206318,14683,,,
2007. Comuna 1,1. Mujer,107202,100199,7003,,,
2007. Comuna 1,2. Mujer trans/travesti,475,437,38,,,
2007. Comuna 1,3. Varón,97107,90875,6232,,,
2007. Comuna 1,4. Varón trans/masculinidad trans,755,693,62,,,
2007. Comuna 1,5. No binario,476,454,22,,,
2007. Comuna 1,6. Otra identidad/ninguna de las anteriores,277,260,17,,,
2007. Comuna 1,7. Prefiero no contestar,671,612,59,,,
2007. Comuna 1,9. Ignorado,14038,12788,1250,,,
2014. Comuna 2,0. __tot__,160609,154103,6506,,,
2014. Comuna 2,1. Mujer,84453,80835,3618,,,
2014. Comuna 2,2. Mujer trans/travesti,187,176,11,,,
2014. Comuna 2,3. Varón,65517,63378,2139,,,
2014. Comuna 2,4. Varón trans/masculinidad trans,324,296,28,,,
2014. Comuna 2,5. No binario,282,271,11,,,
2014. Comuna 2,6. Otra identidad/ninguna de las anteriores,161,150,11,,,
2014. Comuna 2,7. Prefiero no contestar,509,475,34,,,
2014. Comuna 2,9. Ignorado,9176,8522,654,,,
2021. Comuna 3,0. __tot__,193537,181384,12153,,,
2021. Comuna 3,1. Mujer,97198,90924,6274,,,
2021. Comuna 3,2. Mujer trans/travesti,324,293,31,,,
2021. Comuna 3,3. Varón,83045,78485,4560,,,
