DPTO.REDCODEN (Departamento),VIVIENDA.URP (Área urbano rural),0. __tot__,1. Mujer,2. Mujer trans/travesti,3. Varón,4. Varón trans/masculinidad trans,5. No binario,6. Otra identidad/ninguna de las anteriores,7. Prefiero no contestar,9. Ignorado,0. __mv__,0. __na__,
0. __tot__,0. __tot__,45618787,22043042,60679,20562087,72510,37330,26437,69831,2746871,,,
0. __tot__,1. Urbana,42443526,20616491,55394,19044481,67163,35497,24520,66691,2533289,,,
0. __tot__,2. Rural agrupada,1415894,660167,2020,660849,2068,821,798,1521,87650,,,
0. __tot__,3. Rural dispersa,1759367,766384,3265,856757,3279,1012,1119,1619,125932,,,
2007. Comuna 1,0. __tot__,221001,107202,475,97107,755,476,277,671,14038,,,
2007. Comuna 1,1. Urbana,221001,107202,475,97107,755,476,277,671,14038,,,
2014. Comuna 2,0. __tot__,160609,84453,187,65517,324,282,161,509,9176,,,
2014. Comuna 2,1. Urbana,160609,84453,187,65517,324,282,161,509,9176,,,
2021. Comuna 3,0. __tot__,193537,97198,324,83045,521,438,242,589,11180,,,
2021. Comuna 3,1. Urbana,193537,97198,324,83045,521,438,242,589,11180,,,
2028. Comuna 4,0. __tot__,227024,113953,257,102116,308,237,120,445,9588,,,
2028. Comuna 4,1. Urbana,227024,113953,257,102116,308,237,120,445,9588,,,
2035. Comuna 5,0. __tot__,192449,97720,309,81309,456,503,280,682,11190,,,
2035. Comuna 5,1. Urbana,192449,97720,309,81309,456,503,280,682,11190,,,
2042. Comuna 6,0. __tot__,201764,101151,261,83047,683,409,333,671,15209,,,
2042. Comuna 6,1. Urbana,201764,101151,261,83047,683,409,333,671,15209,,,
2049. Comuna 7,0. __tot__,213262,106508,286,92874,401,306,211,588,12088,,,
2049. Comuna 7,1. Urbana,213262,106508,286,92874,401,306,211,588,12088,,,
2056. Comuna 8,0. __tot__,203888,99678,281,90288,448,143,123,271,12656,,,
2056. Comuna 8,1. Urbana,203888,99678,281,90288,448,143,123,271,12656,,,
2063. Comuna 9,0. __tot__,167908,83707,226,74943,301,189,117,408,8017,,,
2063. Comuna 9,1. Urbana,167908,83707,226,74943,301,189,117,408,8017,,,
2070. Comuna 10,0. __tot__,171896,86992,191,76213,308,216,159,507,7310,,,
2070. Comuna 10,1. Urbana,171896,86992,191,76213,308,216,159,507,7310,,,
2077. Comuna 11,0. __tot__,201905,100831,248,87305,467,341,251,577,11885,,,
2077. Comuna 11,1. Urbana,201905,100831,248,87305,467,341,251,577,11885,,,
2084. Comuna 12,0. __tot__,235364,117866,225,102492,537,443,252,744,12805,,,
2084. Comuna 12,1. Urbana,235364,117866,225,102492,537,443,252,744,12805,,,
2091. Comuna 13,0. __tot__,262330,135259,323,111297,610,402,274,856,13309,,,
2091. Comuna 13,1. Urbana,262330,135259,323,111297,610,402,274,856,13309,,,
2098. Comuna 14,0. __tot__,247252,127452,363,103089,516,472,281,898,14181,,,
2098. Comuna 14,1. Urbana,247252,127452,363,103089,516,472,281,898,14181,,,
2105. Comuna 15,0. __tot__,195265,98584,222,85422,363,549,194,762,9169,,,
2105. Comuna 15,1. Urbana,195265,98584,222,85422,363,549,194,762,9169,,,
6007. Adolfo Alsina,0. __tot__,17344,8405,24,8373,5,3,3,27,504,,,
6007. Adolfo Alsina,1. Urbana,12951,6411,18,6146,4,1,3,19,349,,,
6007. Adolfo Alsina,2. Rural agrupada,2723,1293,3,1338,,,,4,85,,,
6007. Adolfo Alsina,3. Rural dispersa,1670,701,3,889,1,2,,4,70,,,
6014. Adolfo Gonzales Chaves,0. __tot__,12847,6211,12,5894,8,5,2,16,699,,,
6014. Adolfo Gonzales Chaves,1. Urbana,9787,4763,8,4405,5,2,2,12,590,,,
