dataset_slug,source_item,row_variable,row_variable_label,column_variable,column_variable_label,area_break,dpto_code,dpto_name,category_label,p03_label,value_raw,value,temp_table_url
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02007,Comuna 1,Urbana,Mujer,107 202,107202,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02007,Comuna 1,Urbana,Mujer trans/travesti,475,475,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02007,Comuna 1,Urbana,Varón,97 107,97107,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02007,Comuna 1,Urbana,Varón trans/masculinidad trans,755,755,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02007,Comuna 1,Urbana,No binario,476,476,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02007,Comuna 1,Urbana,Otra identidad/ninguna de las anteriores,277,277,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02007,Comuna 1,Urbana,Prefiero no contestar,671,671,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02007,Comuna 1,Urbana,Ignorado,14 038,14038,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02007,Comuna 1,Urbana,Total,221 001,221001,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
urp_by_p03_dpto,CRUZTOTAFRO,VIVIENDA.URP,Area urbano rural,PERSONA.GENERO,Identidad de genero,DPTO,02007,Comuna 1,Total,Mujer,107 202,107202,https://redatam.indec.gob.ar/redarg//tempo/18685/~tmp_1868501.htm
